fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
7.5,0.6,0.03,2.5,0.097,26,65,0.99736,3.38,0.47,9.7,5
8.8,0.5,0.36,4.3,0.084,16,37,0.99704,3.23,0.73,11.4,6
8.4,0.28,0.57,2.6,0.093,16,112,0.99572,3.17,0.68,10.2,6
8.7,0.22,0.4,1.7,0.039,18,27,0.999,3.38,0.87,11.7,7
6.9,0.63,0.21,2.2,0.077,31,68,0.99732,3.53,0.55,9.6,5
6.9,0.4,0.17,3.75,0.052,5,15,0.9956,3.39,0.64,10,5
7.1,0.66,0.03,4.5,0.078,17,105,0.99746,3.58,0.53,9.9,5
7.4,0.56,0.03,2.5,0.08,36,52,0.99745,3.55,0.63,9.6,5
7.7,0.61,0.2,1.4,0.088,11,38,0.99612,3.28,0.66,10.8,7
8.9,0.28,0.45,2.3,0.058,5,9,0.99386,3.31,0.69,12.8,6
7.1,0.77,0,1.7,0.08,26,35,0.99612,3.38,0.63,9.7,5
7.5,0.47,0.31,2.6,0.077,16,86,0.9978,3.31,0.61,10,5
7.5,0.36,0.31,2.5,0.079,24,37,0.99516,3.4,0.88,11.8,7
7.8,0.47,0.32,2,0.079,34,52,0.9964,3.3,0.86,10.4,7
7.9,0.41,0.51,2,0.056,4,10,0.99396,3.26,0.68,11.7,6
12.5,0.5,0.49,2.6,0.081,5,13,1.0004,3.09,0.49,10.3,5
9.4,0.43,0.14,5.1,0.079,33,94,0.99939,3.24,0.77,12,7
8.2,0.28,0.48,2.7,0.109,10,86,0.99865,3.33,0.6,9.3,5
6.3,0.55,0.15,2.8,0.102,13,37,0.99625,3.51,0.6,10.95,6
9.2,0.43,0.14,2,0.109,15,65,0.99668,3.19,0.82,9.8,7
7,0.57,0.02,2.1,0.062,17,89,0.99514,3.39,0.68,10.7,6
6.8,0.6,0.08,2.6,0.049,11,42,0.995,3.38,0.5,10,5
9.1,0.67,0.36,2.5,0.084,16,42,0.9988,3.39,0.86,13.3,7
9.4,0.59,0.19,2.8,0.09,19,58,0.9976,3.19,0.58,9.4,5
6.8,0.54,0,3.4,0.077,10,24,0.99531,3.36,0.6,10.6,5
6.1,0.705,0,2.3,0.071,11,35,0.99685,3.61,0.82,10,7
6.3,0.86,0,2,0.076,15,34,0.99633,3.51,0.56,9.8,6
10.8,0.47,0.33,2.2,0.077,5,28,0.99316,3.38,0.77,12,6
10.2,0.28,0.48,3,0.076,7,11,0.99483,3.36,0.6,12.5,7
9.3,0.59,0.24,1.8,0.109,26,70,0.99803,3.19,0.57,9.5,5
8.7,0.28,0.48,2.5,0.074,23,115,0.9974,3.32,0.72,9.4,6
11.4,0.43,0.53,2.2,0.061,9,17,0.99572,3.14,0.59,11.8,7
9.9,0.41,0.49,3,0.098,12,50,1.0004,3.48,0.57,9.4,4
11.5,0.35,0.45,3.2,0.092,6,23,0.9996,3.36,0.6,11,5
9.3,0.41,0.42,2.7,0.087,25,51,0.99817,3.27,0.69,9.5,6
6.6,0.6,0.01,2.1,0.071,27,35,0.99516,3.36,0.62,11.3,6
7.7,0.69,0.21,2.6,0.087,68,124,0.9984,3.78,0.49,9.4,5
7.4,0.64,0,2.4,0.053,27,60,0.99611,3.36,0.47,11.3,5
7,1.035,0.21,2.1,0.079,13,49,0.9963,3.16,0.49,9.4,5
7.4,0.48,0.32,2.1,0.062,3,9,0.9956,3.3,0.78,11,7
6.8,0.6,0,2,0.157,5,20,0.995,3.59,0.62,11,7
8.2,0.27,0.52,2.2,0.05,5,11,0.99316,3.17,0.79,12.4,6
6.8,0.57,0.02,2.2,0.076,31,58,0.99734,3.36,0.7,11.7,6
7.7,0.62,0.04,2.3,0.058,5,13,0.99522,3.38,0.86,10.9,7
7.2,0.63,0,2.5,0.07,26,61,0.9976,3.51,0.54,10.8,5
7.2,0.65,0.01,2.6,0.093,42,51,0.997,3.51,0.71,10.8,7
7.8,0.35,0.32,2.4,0.081,33,44,0.99629,3.28,0.54,10.6,5
10,0.46,0.24,2.9,0.092,13,27,0.9987,3.32,0.87,10,7
5.2,0.67,0.02,1.4,0.045,13,49,0.99387,3.78,0.47,10.2,5
7.9,0.29,0.34,1.9,0.05,13,74,0.99516,3.26,0.64,9.6,6
9.8,0.59,0.22,2.1,0.111,11,41,0.9994,3.26,0.48,9.4,3
8.8,0.6,0.26,2.8,0.09,23,81,0.9987,3.21,0.51,9.7,5
6.2,0.75,0.01,2.5,0.059,21,49,0.99498,3.55,0.44,11.7,6
9.1,0.545,0.12,4.2,0.084,19,47,0.9976,3.24,0.55,10.5,5
6.1,0.48,0.3,1.8,0.08,32,53,0.99489,3.43,0.64,11,7
7.1,0.735,0,2.8,0.096,21,72,0.9994,3.44,0.56,9.6,5
6.4,0.715,0.08,2.3,0.092,32,54,0.99728,3.52,0.62,14,6
9.3,0.43,0.3,2.6,0.088,34,125,0.997,3.1,1.17,9.5,5
8.3,0.49,0.28,1.9,0.084,25,105,0.995,3.26,0.54,9.2,5
12.8,0.36,0.74,2.8,0.088,10,47,0.9994,3.2,0.77,10.8,7
7.5,0.48,0.28,2.1,0.012,17,92,0.99516,3.34,0.52,11,5
8.1,0.52,0.42,2.4,0.07,15,64,0.9973,3.37,0.72,10.8,5
7.7,0.58,0.03,5.6,0.075,15,34,0.99734,3.33,0.58,10.1,5
6.7,0.915,0,1.7,0.08,18,34,0.99494,3.55,0.66,9.5,5
6.8,0.695,0.11,1.8,0.068,5,20,0.99546,3.54,0.96,11.1,8
11.6,0.3,0.68,2.4,0.061,4,11,0.99546,3.1,0.78,11,7
6.2,0.64,0.1,1.9,0.091,41,60,0.99476,3.58,0.66,11.2,6
7.8,0.61,0.14,2.4,0.084,15,58,0.9968,3.14,0.56,9.4,5
6.5,0.63,0,2,0.097,14,24,0.99632,3.54,0.55,11.4,5
7.6,0.785,0.26,1.9,0.104,11,65,0.9962,3.29,0.52,9.6,5
8.6,0.52,0.27,3.3,0.07,36,125,0.9976,3.15,0.51,9.8,5
7,0.58,0.08,2.7,0.095,19,64,0.9964,3.38,0.47,10.8,5
7.7,0.67,0.24,5.5,0.082,11,46,0.9988,3.16,0.53,9.4,5
9,0.31,0.4,2.4,0.092,21,67,0.99786,3.31,0.56,10.9,4
7.1,0.61,0.3,2.6,0.087,31,131,0.9992,3.42,0.71,9.5,5
7.4,0.49,0.32,2.5,0.073,18,44,0.9956,3.29,0.73,12.7,6
8.7,0.58,0.04,2.3,0.049,5,19,0.9948,3.31,0.67,11.8,6
7.7,0.61,0.28,1.5,0.074,5,35,0.9973,3.26,0.53,9.1,5
10,0.5,0.63,1.9,0.111,25,58,0.9982,3.19,0.71,11.9,6
8,0.88,0,2.5,0.104,15,33,0.99774,3.5,0.51,9.7,5
8.6,0.44,0.31,2.8,0.086,17,104,0.9987,3.32,0.55,9.4,5
7.7,0.39,0.35,2.8,0.082,21,77,0.9978,3.37,0.53,9.3,5
8.2,0.46,0.17,1.4,0.071,8,18,0.9956,3.3,0.58,10.3,5
10.3,0.31,0.44,2.6,0.074,6,13,0.99546,3.22,0.85,11.5,6
8.8,0.6,0.25,2.7,0.086,15,110,0.9976,3.21,0.49,9.2,5
6.2,0.7,0.08,1.8,0.066,14,29,0.9956,3.32,0.82,11.7,8
6.2,0.66,0,2.1,0.055,7,15,0.99448,3.54,0.45,9.8,5
12,0.3,0.49,2.2,0.075,6,16,1.0021,3.07,0.68,10.5,6
8.2,0.49,0.3,1.7,0.092,10,21,0.9972,3,1.18,9.4,5
9.3,0.29,0.52,2,0.067,23,47,0.995,3.21,0.47,10.9,5
7.1,0.57,0.02,2.1,0.082,8,18,0.99668,3.35,0.42,9.3,5
7.8,0.835,0,2.1,0.083,8,20,0.99562,3.41,0.65,11.5,5
8.7,0.28,0.41,1.9,0.067,18,65,0.99479,3.21,0.62,11,7
7.3,0.58,0.2,2.3,0.07,16,40,0.99388,3.38,0.58,11.3,7
8.7,0.575,0.22,2,0.079,38,62,0.9958,3.12,0.48,9.5,5
12,0.5,0.49,2.6,0.079,5,22,0.9997,3.04,0.7,9,6
8.8,0.54,0.26,1.9,0.091,19,119,0.99738,3.14,0.61,9.5,5
10.1,0.38,0.55,2.7,0.106,12,19,0.9982,3.17,0.75,11.1,7
8.7,0.6,0.26,2.2,0.084,23,145,0.99616,3.3,0.53,9.9,5
7.2,0.52,0.29,1.9,0.171,18,38,0.99692,3.35,0.64,10.1,6
9.3,0.55,0.21,1.7,0.079,8,16,0.99448,3.14,0.45,10.3,6
7.7,0.31,0.36,2.4,0.104,9,30,0.995,3.33,0.83,11.5,6
9.9,0.43,0.4,2.1,0.092,26,52,0.9979,3.26,0.74,11,7
6.1,0.59,0,1.6,0.074,8,19,0.9959,3.46,0.59,9.2,5
11.6,0.42,0.54,2.1,0.075,5,16,1.0003,3.25,0.64,9.2,6
10.5,0.57,0.59,2.5,0.088,5,9,0.99708,3.25,0.65,9.6,6
7.9,0.42,0.32,2.1,0.074,37.5,54,0.9973,3.33,0.71,10.5,7
9.9,0.35,0.47,2,0.056,14,25,0.99396,3.18,0.47,10.1,6
7.9,0.57,0.02,1.5,0.071,5,16,0.9974,3.2,0.44,9.1,4
6.8,0.48,0.09,1.9,0.049,8,14,0.9974,3.19,1.02,10.9,6
8.9,0.795,0.19,3.3,0.088,10,89,0.9972,3.36,0.55,9.6,4
7.2,1.33,0.1,1.8,0.082,4,16,0.9964,3.46,0.59,9.4,6
8.9,0.42,0.13,1.9,0.053,20,49,0.99525,3.19,0.83,11.2,5
7.5,0.35,0.28,1.9,0.086,25,85,0.9967,3.27,0.54,9.6,5
7.7,0.725,0.07,1.9,0.117,4,10,0.99655,3.31,0.55,9.5,6
7.8,0.6,0.25,2.1,0.078,30,135,0.9974,3.21,0.57,9.8,5
6.7,0.52,0.13,2.3,0.077,16,59,0.99693,3.62,0.61,10.9,6
11.5,0.43,0.53,1.8,0.078,7,29,1.0001,3.15,0.48,11,5
7.1,0.745,0.12,1.9,0.071,17,86,0.99419,3.38,0.47,10.5,5
10.1,0.915,0,2.4,0.041,6,12,0.99536,3.12,0.44,11.4,5
9.2,0.28,0.6,2.1,0.067,8,17,0.99572,3.11,0.86,11.2,7
9.1,0.53,0.42,1.6,0.083,14,22,0.99652,3.21,0.82,10.5,6
8.9,0.35,0.43,8.3,0.099,6,14,0.99467,3.35,0.78,12.8,7
8.8,0.4,0.33,1.6,0.058,6,27,0.99695,3.26,0.77,9.8,7
7.6,0.7,0.03,2.2,0.082,18,95,0.9964,3.35,0.54,9.6,5
7.2,0.52,0.39,2.3,0.062,3,9,0.9947,3.42,0.62,11.5,6
8.9,0.45,0.4,1.7,0.068,18,38,0.99518,3.38,0.6,11,7
7.7,0.645,0,2.8,0.117,5,13,0.99586,3.26,0.78,10.9,7
8.9,0.43,0.34,1.7,0.061,6,22,0.99732,3.34,0.82,14,7
7.8,0.68,0.12,1.8,0.114,3,9,0.99668,3.38,0.54,9.5,5
7.2,0.36,0.16,1.7,0.064,24,44,0.99514,3.4,0.53,10.3,5
6.6,0.69,0.07,2.4,0.102,12,31,0.99458,3.5,0.52,10.9,7
8.8,0.67,0.24,2.6,0.077,22,59,0.9982,3.17,0.53,9.3,5
10.5,0.32,0.63,2.4,0.093,5,16,0.9996,3.16,0.76,11,7
6.6,0.61,0.01,2.1,0.072,34,46,0.99546,3.57,0.73,10.5,5
10.1,0.33,0.44,2.1,0.055,5,12,0.99585,3.27,0.83,11.4,7
9.5,0.57,0.24,2,0.118,18,119,0.99901,3.24,0.53,9.4,5
12.3,0.43,0.55,2.3,0.082,23,44,1.0004,3.13,0.59,9.5,6
10.4,0.47,0.44,2,0.093,16,33,0.9986,3.3,0.58,9.3,3
7.8,0.42,0.66,2.1,0.065,12,50,0.9969,3.43,0.57,9.4,5
6.1,0.64,0.22,2.1,0.084,41,55,0.99538,3.36,0.57,9.6,5
8.6,0.49,0.3,2.1,0.07,48,90,0.9981,3.35,0.52,9.4,5
6.4,0.58,0.01,2.3,0.076,25,47,0.99489,3.52,0.71,11.2,4
6.7,0.635,0.07,2,0.078,32,46,0.99743,3.69,0.57,10.9,5
7,0.22,0.3,2.2,0.074,35,70,0.9959,3.42,0.48,9.5,5
8.6,0.935,0.3,1.7,0.064,11,30,0.99512,3.3,0.68,11.9,6
7.1,0.38,0.31,2.1,0.056,6,14,0.99472,3.31,0.68,11.3,5
8.4,0.27,0.36,6.6,0.082,6,18,1.00289,3.6,0.65,9.6,6
9.3,0.61,0.49,2.7,0.1,11,65,0.9982,3.17,0.57,9.5,5
8.8,0.69,0.49,3.3,0.114,18,104,0.9982,3.26,0.55,9.2,5
5.3,0.66,0.07,1.7,0.111,3,19,0.9976,3.59,0.71,12.1,6
6.5,0.64,0,1.7,0.06,5,15,0.99498,3.48,0.55,9.5,6
6.8,0.66,0,2.6,0.086,35,53,0.99615,3.5,0.73,12.5,7
10,0.39,0.49,2.9,0.095,19,58,0.9994,3.17,0.63,10.2,6
10.6,0.66,0.32,2.4,0.076,14,37,0.99418,3.22,0.55,12.8,6
8.3,0.6,0.26,2.4,0.079,24,122,0.9976,3.26,0.52,9.4,5
8.9,0.31,0.39,2.7,0.087,26,52,0.9994,3.12,0.6,9.5,5
11.3,0.36,0.53,2.7,0.085,6,14,0.99642,3.23,0.83,11.7,7
11.5,0.18,0.49,1.6,0.096,6,18,0.9986,3.2,0.6,9.5,5
7.8,0.77,0.08,2,0.068,15,64,0.99557,3.27,0.68,9.8,6
12.2,0.28,0.47,4.3,0.067,6,24,0.9997,3.12,0.7,10.1,7
7.5,0.62,0.21,2.3,0.1,5,19,0.9946,3.38,0.8,10.6,5
8.8,0.43,0.31,3.4,0.056,32,48,0.99396,3.31,0.65,11.2,6
11.6,0.745,0,3,0.086,16,36,1.0021,3.16,0.68,11,5
8.3,0.37,0.31,2.4,0.082,26,66,0.99694,3.31,0.66,12.5,7
7,0.68,0,2.1,0.106,8,22,0.9974,3.31,0.56,9.8,5
7.7,0.54,0.26,2.6,0.071,22,81,0.99627,3.16,0.64,9.7,5
7.8,0.58,0.21,1.9,0.08,8,65,0.99668,3.16,0.55,9.5,5
8.8,0.77,0,2.6,0.074,15,47,0.9979,3.49,0.61,10,6
8,0.735,0.28,2.15,0.358,6,12,0.99652,3.38,0.49,10.5,5
8.1,0.57,0.2,1.9,0.073,25,53,0.9974,3.1,1.13,9.4,7
6.8,0.62,0.01,2.1,0.08,34,53,0.99491,3.52,0.56,10.8,5
10.5,0.31,0.51,1.7,0.074,13,31,0.99738,3.02,0.62,10,6
9.8,0.67,0.49,2.3,0.098,6,21,1.00012,3.31,0.66,9.9,6
7.8,0.61,0.06,2.5,0.087,21,59,0.99746,3.25,0.91,9.8,6
7.7,0.57,0.06,2.3,0.098,20,49,0.9959,3.4,0.58,9.8,5
7.3,0.36,0.23,3.3,0.078,28,128,0.99572,3.44,0.5,11.3,5
7.6,0.55,0.59,1.9,0.117,10,18,0.99655,3.22,0.71,9.4,5
8.9,0.4,0.54,2,0.065,16,28,0.9959,3.27,0.59,9.5,6
6.2,0.635,0.08,2,0.083,14,61,0.99702,3.41,0.52,10.4,5
8.2,0.47,0.34,3,0.067,23,44,0.99316,3.3,0.83,12.9,8
8,0.35,0.52,1.7,0.077,16,42,0.99522,3.35,0.77,13.6,8
6.8,0.57,0.15,1.6,0.102,24,58,0.9962,3.41,0.59,9.8,5
8,0.32,0.25,2.1,0.104,6,12,0.99458,3.4,0.9,10.8,6
7.1,0.69,0,2.2,0.097,36,51,0.99736,3.52,0.75,11.6,7
8.8,0.62,0.12,1.8,0.072,14,28,0.99504,3.36,0.89,11.8,6
6.4,0.61,0,2.4,0.069,10,26,0.9948,3.61,0.6,11.8,6
7.9,0.57,0.24,1.9,0.077,29,58,0.9968,3.04,0.57,9.5,5
8.1,0.86,0,2.1,0.065,4,10,0.9966,3.3,0.57,9.7,5
8.7,0.22,0.24,2.1,0.065,13,30,0.99761,3.2,0.78,10.2,6
6.3,0.835,0,2.3,0.055,8,18,0.995,3.54,0.63,11,6
6.3,0.49,0.2,1.9,0.077,16,40,0.9956,3.39,0.64,10.1,6
7.9,0.705,0.01,2,0.07,31,92,0.9972,3.47,0.57,9.9,5
11.9,0.41,0.53,2.2,0.106,7,10,0.9986,3.19,0.64,10.2,6
7.2,0.66,0.04,2.5,0.082,16,86,0.99744,3.53,0.82,9.2,6
7.9,0.845,0.03,2,0.076,13,39,0.99627,3.32,0.54,10.1,5
12.3,0.37,0.51,3.3,0.083,10,23,1.00369,3.22,0.6,10.8,6
11.3,0.38,0.53,2.5,0.09,5,28,0.9996,3.15,0.51,9.1,5
11.3,0.5,0.49,2.6,0.085,18,101,1,3.17,0.44,9.5,6
7.8,0.6,0.14,2.1,0.073,23,36,0.99628,3.26,0.49,12,6
10,0.51,0.59,3.7,0.072,6,15,0.99572,3.18,0.62,11.8,6
12.4,0.37,0.53,2.1,0.118,6,25,0.99592,3.2,0.5,12.4,7
5,0.43,0.24,2.5,0.058,11,35,0.99258,3.22,0.55,12.2,8
10.3,0.32,0.52,1.8,0.104,19,77,0.99724,3.33,0.77,10.8,6
6.1,0.88,0,2.1,0.044,12,18,0.99191,3.54,0.58,12.5,5
10.2,0.27,0.53,2.1,0.06,6,15,0.9972,3.35,0.82,10.2,6
8.6,0.39,0.09,2.4,0.074,15,28,0.9964,3.15,0.81,11.5,6
10.9,0.42,0.45,6.4,0.076,25,49,0.99738,3.3,0.82,12.1,7
7.7,0.56,0.2,1.9,0.084,23,144,0.9976,3.1,0.44,9.3,5
9,0.3,0.51,1.8,0.095,6,22,0.99724,3.18,0.57,9.7,5
7.7,0.65,0.06,4.65,0.076,4,19,0.9974,3.32,0.54,9.6,5
7.3,0.28,0.48,2.1,0.051,6,14,0.99444,3.26,0.66,12.8,6
7.3,0.725,0.12,1.6,0.063,14,31,0.99467,3.38,0.73,10.7,7
9.4,0.66,0.31,2,0.086,27,63,0.99708,3.07,0.58,9.8,5
6.4,0.59,0,1.9,0.058,4,9,0.99468,3.52,0.57,10.6,4
7.3,0.46,0.21,2.6,0.07,13,31,0.9966,3.13,0.59,9.2,5
7.1,0.65,0.02,2.1,0.067,16,38,0.9934,3.34,0.82,10,7
7.1,0.6,0.24,2.5,0.077,28,109,0.9973,3.43,0.6,9.4,5
6.2,0.43,0.3,2.1,0.062,23,54,0.99484,3.47,0.82,10,6
9.3,0.39,0.44,4.2,0.079,6,15,0.99668,3.39,0.68,10,6
7.5,1.33,0,1.9,0.076,6,31,0.99603,3.31,0.49,9.5,6
7.7,0.78,0.1,4,0.084,3,15,0.9983,3.48,0.53,9.5,5
11.9,0.41,0.54,2,0.084,13,27,0.9994,3.1,0.85,10.5,7
7.1,0.6,0.03,2.5,0.097,21,77,0.99744,3.38,0.48,9.2,5
10.4,0.49,0.59,2.2,0.082,8,19,0.9976,3.22,0.77,10.8,7
9.9,0.54,0.24,2.2,0.085,25,67,0.9991,3.29,0.66,10.2,7
8.2,0.3,0.6,2.3,0.077,11,22,0.99549,3.4,0.85,11.8,7
7.7,0.69,0,2.1,0.058,16,37,0.99292,3.35,0.55,12.5,6
8.6,0.29,0.45,2.3,0.092,15,21,0.99572,3.19,0.6,11.5,6
8.2,0.74,0.23,2.6,0.084,24,122,0.9966,3.22,0.55,9.4,5
7.8,0.54,0.26,2,0.08,28,129,0.99613,3.21,0.64,9.3,6
7.8,0.49,0.21,1.8,0.091,23,119,0.9974,3.07,0.62,9.2,5
7.8,0.58,0.26,1.8,0.08,38,52,0.99708,3.32,0.72,9.5,5
7.5,0.36,0.46,1.8,0.123,4,11,0.99647,3.47,0.53,10.9,3
8.8,0.36,0.43,3,0.071,18,86,0.9956,3.3,0.79,12,7
6.9,0.35,0.46,1.7,0.063,19,50,0.9948,3.36,0.6,11,5
8.9,0.58,0.23,2.2,0.106,5,17,0.9969,3.14,0.5,9.4,5
7.5,0.34,0,1.9,0.049,7,16,0.99693,3.44,0.87,10,5
11.5,0.38,0.53,2.6,0.088,6,18,0.9982,3.11,0.72,10,5
6.6,0.66,0.07,1.9,0.059,7,12,0.99458,3.35,0.72,11.8,6
7.9,0.63,0,1.8,0.077,29,61,0.9964,3.48,0.58,9.7,6
6.7,0.38,0.08,2.1,0.068,19,38,0.9947,3.35,0.83,10.6,6
7.2,0.36,0.32,2.1,0.073,16,86,0.99587,3.47,0.81,9.3,5
8,0.47,0.32,2.4,0.104,6,47,0.9974,3.3,0.7,10,6
8.8,0.43,0.49,2.2,0.084,10,43,0.9982,3.3,0.9,9.4,6
7.1,0.51,0.17,2.1,0.077,25,85,0.99524,3.46,0.59,10.1,5
7.9,0.59,0.01,1.8,0.078,43,60,0.99538,3.38,0.59,11,6
8.2,0.74,0.24,2.5,0.095,14,86,0.99855,3.42,0.59,9.2,5
9.6,0.43,0.29,2.6,0.077,23,43,0.9979,3.19,0.64,10.1,6
7.8,0.52,0.04,1.6,0.069,8,20,0.9958,3.41,0.62,9,4
8,0.38,0.46,2.6,0.072,32,41,0.99408,3.27,0.71,12.6,6
6.4,0.33,0.27,2,0.058,25,42,0.99478,3.44,0.55,11,5
11.5,0.32,0.63,2.4,0.099,6,27,0.9987,3.08,0.58,9.5,5
7.1,0.6,0.01,2.3,0.082,13,31,0.9963,3.52,0.4,10.7,5
9.2,0.46,0.24,2.2,0.079,26,85,0.9976,3.12,0.48,9.4,5
7.3,0.6,0,2.5,0.087,30,135,0.9982,3.51,0.52,9.9,5
8.6,0.84,0.24,2.2,0.098,5,19,0.998,3.29,0.46,9.3,7
7.8,0.49,0.19,1.8,0.077,21,119,0.9968,3.39,0.54,9.4,5
7.4,0.62,0.02,1.9,0.08,15,67,0.99736,3.34,0.52,9,5
12.5,0.41,0.54,3.4,0.077,6,24,1,3.16,0.77,11,6
7.1,0.58,0.02,2.1,0.063,17,53,0.99572,3.52,0.72,10.9,6
6.8,0.49,0.28,1.8,0.085,27,63,0.99344,3.35,0.63,12,6
7.1,0.69,0,2.2,0.071,27,63,0.9963,3.48,0.5,9.7,5
7.6,0.54,0.26,2,0.06,27,63,0.99612,3.26,0.64,9.4,5
8.4,0.63,0,2,0.093,18,38,0.99636,3.31,0.65,11.1,6
8.1,0.28,0.28,2.1,0.062,30,119,0.9963,3.17,0.63,9.6,5
7.8,0.7,0.16,1.9,0.066,21,102,0.9956,3.19,0.59,9.9,5
6.5,0.715,0,2.1,0.095,6,15,0.9948,3.58,0.5,11.9,5
7.5,0.56,0.26,1.9,0.076,20,87,0.9976,3.28,0.62,9.8,5
6.7,0.59,0.18,2.1,0.076,31,34,0.99494,3.52,0.6,11,6
8.8,0.65,0.14,2.1,0.114,16,59,0.99783,3.17,0.54,9.2,5
11.9,0.57,0.73,3.65,0.104,5,14,0.9996,3.2,0.73,11.5,7
8.5,0.6,0.35,3.2,0.084,34,45,0.99622,3.33,0.72,11.8,6
7.7,0.56,0.31,2.3,0.069,27,65,0.9958,3.16,0.53,9.3,5
8.8,0.55,0.21,2,0.076,12,86,0.9979,3.17,0.44,9.4,5
7,0.7,0.26,2.5,0.097,31,131,0.9986,3.24,0.57,9.6,5
11.5,0.35,0.49,5.5,0.094,5,13,0.9987,3.08,0.57,9.5,5
7.2,0.39,0.66,2,0.078,17,44,0.99647,3.21,0.49,9.8,5
8,0.725,0.22,2.1,0.083,29,66,0.99628,3.36,0.56,10.2,5
11.8,0.41,0.44,3,0.083,6,12,0.9986,3.23,0.64,11.4,5
8,0.27,0.4,2.4,0.123,8,20,0.99623,3.3,0.68,11.9,5
7.8,0.58,0.01,4.3,0.096,3,12,0.99568,3.36,0.53,11,7
11.5,0.6,0.66,2.4,0.064,6,24,0.9986,3.17,0.85,11,6
6.5,0.51,0.05,2.1,0.116,7,31,0.9976,3.5,0.39,9.7,5
8.6,0.28,0.49,2.4,0.061,6,18,0.9957,3.3,0.57,9.2,4
8.9,0.53,0.24,3.2,0.087,20,58,0.9982,3.39,0.6,10.2,7
7.5,0.6,0.01,2.3,0.069,29,46,0.99521,3.35,0.55,10.5,6
8.3,0.57,0.29,2,0.114,5,9,0.99408,3.28,0.6,11.1,6
10.8,0.47,0.32,2.6,0.084,26,62,0.9986,3.2,0.77,9.8,6
6,0.61,0,2,0.171,21,51,0.9976,3.61,0.54,9.3,4
7.3,0.42,0.3,2.9,0.072,22,54,0.99516,3.37,0.56,10.5,6
6.4,0.36,0.25,1.9,0.063,16,37,0.99439,3.42,0.58,11,6
8.4,0.745,0.12,2.1,0.092,16,86,0.9968,3.09,0.67,9.5,5
13.3,0.44,0.59,2.5,0.094,5,15,0.9994,2.98,0.68,9.6,3
7.5,0.58,0.01,2.3,0.076,23,43,0.9946,3.34,0.46,10.7,5
10.8,0.57,0.51,1.8,0.072,6,14,0.9972,3.05,0.57,9.5,5
6.6,0.84,0.21,2.1,0.076,11,50,0.99494,3.39,0.6,10.9,6
11.5,0.31,0.68,2.6,0.098,8,35,0.99976,3.03,0.67,10.6,6
7.3,0.785,0,1.9,0.067,27,63,0.9946,3.59,0.59,9.4,5
6.6,0.7,0,2.3,0.123,9,17,0.99568,3.59,0.67,10.2,5
6.6,0.34,0.29,2.4,0.098,15,33,0.99408,3.44,0.62,11.9,6
8.2,0.38,0.45,2.4,0.065,31,52,0.99332,3.21,0.69,11,5
8.8,0.28,0.49,2.8,0.093,32,68,0.9994,3.31,0.63,10,7
13,0.37,0.66,2.2,0.088,6,24,0.9986,3.24,0.82,10.5,6
7.8,0.59,0,1.6,0.074,24,38,0.9964,3.41,0.65,11.7,7
9.6,0.69,0.24,2.4,0.071,16,40,0.9988,3.19,0.62,9.3,5
7.1,0.57,0.19,3.2,0.077,15,61,0.9979,3.19,0.52,9.8,5
7.4,0.835,0.03,1.7,0.09,23,44,0.99514,3.39,0.68,11.2,6
6.5,0.34,0.29,1.3,0.07,34,85,0.99494,3.42,0.92,10.6,6
8.5,0.31,0.52,2.1,0.084,24,44,0.99538,3.36,0.85,11,7
7.5,0.64,0.21,3.3,0.096,23,119,0.99572,3.14,0.5,9.5,5
8.8,0.28,0.6,2.4,0.071,12,24,0.99728,3.29,0.69,11,7
8.1,0.885,0.23,2,0.058,15,28,0.99578,3.28,0.6,9.7,5
7.8,0.49,0.29,1.8,0.084,35,106,0.99685,3.35,0.62,9.5,6
8.1,0.8,0,1.8,0.078,19,35,0.9969,3.28,0.56,9.6,5
7.6,0.36,0.29,2.1,0.104,9,23,0.9963,3.31,0.58,10.8,5
8,0.37,0.52,4.6,0.063,27,51,0.99374,3.3,0.77,12.5,7
9.2,0.61,0.23,2.3,0.086,21,49,0.9976,3.12,0.54,9.2,4
6.8,0.66,0,1.4,0.057,14,25,0.99498,3.41,0.6,12.1,6
6.7,0.42,0.32,1.7,0.07,26,86,0.9934,3.52,0.84,12.6,7
6.6,0.57,0.02,1.9,0.084,27,53,0.9958,3.36,0.75,9.8,7
10.2,0.43,0.53,1.9,0.072,5,14,0.9972,3.2,0.66,11.2,6
9,0.3,0.39,2.6,0.082,19,49,0.9976,3.3,0.49,9.4,5
8.8,0.48,0.31,3.9,0.084,6,15,0.9994,3.37,0.77,10.5,6
8.3,0.52,0,2.3,0.079,20,49,0.99459,3.38,0.59,12,7
9.9,0.31,0.49,6.7,0.098,12,23,0.9994,3.31,0.87,12.4,7
7.7,0.54,0.06,2.1,0.071,24,94,0.9961,3.37,0.68,10.9,6
7.2,0.63,0.27,1.7,0.081,41,68,0.996,3.53,0.57,9.9,5
7.2,0.58,0.3,2.2,0.076,30,54,0.99728,3.29,0.55,9.8,6
8.8,1,0.18,2,0.085,14,58,0.9979,3.26,0.66,9.6,5
7.1,0.835,0,1.9,0.089,18,38,0.99693,3.26,0.46,9.6,5
